"año","mes","cantidad"
"2023","January ","62533"
"2023","February","34922"
"2023","March","30609"
"2023","April","20413"
"2023","May","22721"
"2023","June","23949"
"2023","July","25736"
"2023","August","25823"
"2023","September","22293"
"2023","October","19768"
"2023","November","40073"
"2023","December","26074"
